仲: チュウ
宙: チュウ
忠: チュウ
抽: チュウ
昼: チュウ
柱: チュウ
注: チュウ
虫: チュウ、キ
衷: チュウ
酎: チュウ、チュ
鋳: チュウ、イ、シュ、シュウ
駐: チュウ
著: チョ、チャク
貯: チョ
丁: チョウ、テイ、チン、トウ、チ
兆: チョウ
帳: チョウ
庁: チョウ、テイ
弔: チョウ
張: チョウ
彫: チョウ
徴: チョウ、チ
懲: チョウ
挑: チョウ
朝: チョウ
潮: チョウ
町: チョウ
眺: チョウ
聴: チョウ、テイ
腸: チョウ
調: チョウ
超: チョウ
跳: チョウ
長: チョウ
頂: チョウ
鳥: チョウ
勅: チョク
捗: チョク、ホ
直: チョク、ジキ、ジカ
朕: チン
沈: チン、ジン
珍: チン
賃: チン
鎮: チン
陳: チン
津: シン
墜: ツイ
椎: ツイ、スイ
追: ツイ
痛: ツウ
通: ツウ、ツ
塚: チョウ
漬: シ
潰: カイ、エ
坪: ヘイ
爪: ソウ
釣: チョウ
鶴: カク
亭: テイ、チン
低: テイ
停: テイ
偵: テイ
貞: テイ、ジョウ
呈: テイ
堤: テイ
定: テイ、ジョウ
帝: テイ
底: テイ
庭: テイ
廷: テイ
弟: テイ、ダイ、デ
抵: テイ
提: テイ、チョウ、ダイ
程: テイ
締: テイ
艇: テイ
訂: テイ
諦: テイ、タイ
逓: テイ
邸: テイ
泥: デイ、ナイ、デ、ニ
摘: テキ
敵: テキ
滴: テキ
的: テキ
笛: テキ
適: テキ
溺: デキ、ジョウ、ニョウ
哲: テツ
徹: テツ
撤: テツ
迭: テツ
鉄: テツ
典: テン、デン
天: テン
展: テン
店: テン
添: テン
貼: テン、チョウ
転: テン
点: テン
伝: デン、テン
殿: デン、テン
田: デン
電: デン
吐: ト
塗: ト
妬: ト、ツ
徒: ト
斗: ト、トウ
渡: ト
登: トウ、ト、ドウ、ショウ、チョウ
賭: ト
途: ト
都: ト、ツ
努: ド
度: ド、ト、タク
土: ド、ト
奴: ド
怒: ド、ヌ
倒: トウ
党: トウ
冬: トウ
凍: トウ
刀: トウ
唐: トウ
塔: トウ
島: トウ
悼: トウ
投: トウ
搭: トウ
東: トウ
桃: トウ
棟: トウ
盗: トウ
湯: トウ
灯: トウ
当: トウ
痘: トウ
等: トウ
答: トウ
筒: トウ
糖: トウ
統: トウ
到: トウ
藤: トウ、ドウ
討: トウ
謄: トウ
豆: トウ、ズ
踏: トウ
逃: トウ
透: トウ
陶: トウ
頭: トウ、ズ、ト
騰: トウ
闘: トウ
働: ドウ
動: ドウ
同: ドウ
堂: ドウ
導: ドウ
憧: ショウ、トウ、ドウ
洞: ドウ
瞳: ドウ、トウ
童: ドウ
胴: ドウ
道: ドウ、トウ
銅: ドウ
匿: トク
得: トク
徳: トク
特: トク
督: トク
篤: トク
毒: ドク
独: ドク、トク
読: ドク、トク、トウ
凸: トツ
突: トツ、カ
届: カイ
屯: トン
豚: トン
頓: トン、トツ
曇: ドン
鈍: ドン
奈: ナ、ナイ、ダイ
那: ナ、ダ
内: ナイ、ダイ
謎: メイ、ベイ
鍋: カ
縄: ジョウ
南: ナン、ナ
軟: ナン
難: ナン
二: ニ、ジ
尼: ニ
弐: ニ、ジ
肉: ニク
虹: コウ
日: ニチ、ジツ
乳: ニュウ
入: ニュウ、ジュ
如: ジョ、ニョ
尿: ニョウ
任: ニン
妊: ニン、ジン
忍: ニン
認: ニン
寧: ネイ
猫: ビョウ
熱: ネツ
年: ネン
念: ネン
捻: ネン、ジョウ
燃: ネン
粘: ネン
悩: ノウ
濃: ノウ
納: ノウ、ナッ、ナ、ナン、トウ
能: ノウ
脳: ノウ、ドウ
農: ノウ
把: ハ、ワ
覇: ハ、ハク
波: ハ
派: ハ
破: ハ
婆: バ
罵: バ
馬: バ
俳: ハイ
廃: ハイ
拝: ハイ
排: ハイ
敗: ハイ
杯: ハイ
背: ハイ
肺: ハイ
輩: ハイ
配: ハイ
倍: バイ
培: バイ
媒: バイ
梅: バイ
買: バイ
売: バイ
賠: バイ
陪: バイ
伯: ハク
剥: ハク、ホク
博: ハク、バク
拍: ハク、ヒョウ
泊: ハク
白: ハク、ビャク
舶: ハク
薄: ハク
迫: ハク
漠: バク
爆: バク
縛: バク
麦: バク
箱: ソウ
箸: チョ、チャク
肌: キ
八: ハチ、ハツ
鉢: ハチ、ハツ
発: ハツ、ホツ
髪: ハツ
伐: バツ、ハツ、カ、ボチ
罰: バツ、バチ、ハツ
抜: バツ、ハツ、ハイ
閥: バツ
伴: ハン、バン
判: ハン、バン
半: ハン
反: ハン、ホン、タン、ホ
帆: ハン
搬: ハン
斑: ハン
板: ハン、バン
氾: ハン
汎: ハン、ブ、フウ、ホウ、ホン
版: ハン
犯: ハン、ボン
班: ハン
畔: ハン
繁: ハン
般: ハン
藩: ハン
販: ハン
範: ハン
煩: ハン、ボン
頒: ハン
飯: ハン
晩: バン
番: バン
盤: バン
蛮: バン
卑: ヒ
否: ヒ
妃: ヒ
彼: ヒ
悲: ヒ
扉: ヒ
批: ヒ
披: ヒ
比: ヒ
泌: ヒツ、ヒ
疲: ヒ
皮: ヒ
碑: ヒ
秘: ヒ
罷: ヒ
肥: ヒ
被: ヒ
費: ヒ
避: ヒ
非: ヒ
飛: ヒ
備: ビ
尾: ビ
微: ビ
眉: ビ、ミ
美: ビ、ミ
鼻: ビ
匹: ヒツ
膝: シツ
肘: チュウ
必: ヒツ
筆: ヒツ
姫: キ
媛: エン
百: ヒャク、ビャク
俵: ヒョウ
標: ヒョウ
氷: ヒョウ
漂: ヒョウ
票: ヒョウ
表: ヒョウ
評: ヒョウ
描: ビョウ
病: ビョウ、ヘイ
秒: ビョウ
苗: ビョウ、ミョウ
品: ヒン、ホン
浜: ヒン
貧: ヒン、ビン
賓: ヒン
頻: ヒン
敏: ビン
瓶: ビン
不: フ、ブ
付: フ
夫: フ、フウ、ブ
婦: フ
富: フ、フウ
布: フ、ホ
府: フ
怖: フ、ホ
扶: フ
敷: フ
普: フ
浮: フ
父: フ
符: フ
腐: フ
膚: フ
譜: フ
負: フ
賦: フ、ブ
赴: フ
阜: フ、フウ
附: フ
侮: ブ
武: ブ、ム
舞: ブ
部: ブ
封: フウ、ホウ
風: フウ、フ
伏: フク
副: フク
復: フク
幅: フク
服: フク
福: フク
腹: フク
複: フク
覆: フク
払: フツ、ヒツ、ホツ
沸: フツ
