盛: 戈尸月井
聖: 尸口竹土
誠: 言戈尸
宣: 十一日一
専: 十田寸 
泉: 丶日水
洗: 水竹土儿
染: 水弓木
善: 井土井口 * 井井口
奏: 手大竹大
窓: 十儿厶心
創: 人口中弓
装: 丬土衣
層: 尸金田日
操: 手口口木
蔵: 
臓: 
存: 卜人子
尊: 井田木戈
宅: 十ノ七
担: 手日一
誕: 卜口弓大一
段: ヨ几水
探: 手月儿木
暖: 日月一水
値: 
宙: 十丶田
忠: 中心
著: 廿土ノ日
庁: 
頂: 一弓一月金
潮: 水十十月
賃: 人土目金
痛: 大弓戈月
展: 尸井衣
討: 言丁丶
党: 火口儿
糖: 米ヨ口
届: 尸田
難: 井人人土
乳: 月子心
認: 言刀心
納: 女火人月
脳: 
派: 水竹竹女
拝: 手王十
俳: 人中一卜
背: 中心月
肺: 月卜巾
班: 一土戈中土
晩: 
否: 一火口
批: 手心心
秘: 竹木心竹
腹: 月人日水
奮: 大人土田
並: 井井金 * 井井一
陛: 阝心心土
閉: 門丁
片: 中中一中
補: 中戈十月
暮: 井日大日
宝: 
訪: 言卜尸
亡: 卜女
忘: 卜女心
棒: 木手大手
枚: 木水
幕: 井日大月
密: 十心竹山
盟: 日月月井
模: 木井日大
訳: 言尸丶
優: 人一目水
幼: 糸力
郵: ノノ阝
欲: 金口弓人
翌: 尸一卜井
乱: ノ口心
卵: 竹竹尸中戈
覧: 
裏: 卜田衣
律: 彳ヨ手
臨: 尸中人口口
朗: 戈戈月
論: 言人一月
