亜: つぐ
濁: にごる、にごす
但: ただし
奪: うばう
脱: ぬぐ、ぬげる
棚: たな
谷: たに、きわまる
誰: だれ、たれ、た
丹: に
単: ひとえ
嘆: なげく、なげかわしい
担: かつぐ、になう
探: さぐる、さがす
旦: あきらか、あきら、ただし、あさ、あした
淡: あわい
炭: すみ
短: みじかい
端: はし、は、はた、はな
綻: ほころびる
胆: きも
鍛: きたえる
団: かたまり、まるい
弾: ひく、はずむ、たま、はじく、はじける、ただす、はじきゆみ
断: たつ、ことわる、さだめる
暖: あたたか、あたたかい、あたたまる、あたためる
男: おとこ、お
値: ね、あたい
知: しる、しらせる
恥: はじる、はじ、はじらう、はずかしい
池: いけ
痴: しれる、おろか
稚: いとけない、おさない、おくて、おでる
置: おく
致: いたす
遅: おくれる、おくらす、おそい
築: きずく
竹: たけ
蓄: たくわえる
着: きる、きせる、つく、つける
中: なか、うち、あたる
仲: なか
昼: ひる
柱: はしら
注: そそぐ、さす、つぐ
虫: むし
酎: かもす
鋳: いる
著: あらわす、いちじるしい
貯: ためる、たくわえる
丁: ひのと
兆: きざす、きざし
帳: とばり
庁: やくしょ
弔: とむらう、とぶらう
張: はる
彫: ほる
徴: しるし
懲: こりる、こらす、こらしめる
挑: いどむ
朝: あさ
潮: しお、うしお
町: まち
眺: ながめる
聴: きく、ゆるす
腸: はらわた、わた
調: しらべる、しらべ、ととのう、ととのえる
超: こえる、こす
跳: はねる、とぶ
長: ながい、おさ
頂: いただく、いただき
鳥: とり
勅: いましめる、みことのり
捗: はかどる
直: ただちに、なおす、なおる、なおき、すぐ
沈: しずむ、しずめる
珍: めずらしい、たから
鎮: しずめる、しずまる、おさえ
陳: ひねる
津: つ
墜: おちる、おつ
椎: つち、うつ
追: おう
痛: いたい、いたむ、いたましい、いためる
通: とおる、とおり、とおす、とおし、かよう
塚: つか
漬: つける、つかる
潰: つぶす、つぶれる、ついえる
坪: つぼ
爪: つめ
釣: つる、つり
鶴: つる
低: ひくい、ひくめる、ひくまる
停: とめる、とまる
貞: ただしい、さだ
堤: つつみ
定: さだめる、さだまる、さだか
帝: みかど
底: そこ
庭: にわ
弟: おとうと
提: さげる
程: ほど
締: しまる、しまり、しめる
訂: ただす
諦: あきらめる、つまびらか、まこと
逓: かわる、たがいに
邸: やしき
泥: どろ、なずむ
摘: つむ
敵: かたき、あだ、かなう
滴: しずく、したたる
的: まと
笛: ふえ
適: かなう
溺: いばり、おぼれる
哲: さとい、あきらか
鉄: くろがね
典: ふみ、のり
天: あまつ、あめ
店: みせ、たな
添: そえる、そう
貼: はる、つく
転: ころがる、ころげる、ころがす、ころぶ、まろぶ、うたた、うつる、くるめく
点: つける、つく、たてる、さす、とぼす、ともす、ぼち
伝: つたわる、つたえる、つたう、つだう、つて
殿: との
田: た
吐: はく、つく
塗: ぬる、ぬり、まみれる
妬: ねたむ、そねむ、つもる、ふさぐ
徒: いたずら、あだ
渡: わたる、わたす
登: のぼる、あがる
賭: かける、かけ
途: みち
都: みやこ
努: つとめる
度: たび
土: つち
奴: やつ、やっこ
怒: いかる、おこる
